utc_iso,global_sequence,cycle_index,target_index,target_nominal_mm,retreat_mm,position_measured_mm,residual_mm,sample_within_point
2026-03-28T23:16:59.761474+00:00,65,13,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:17:09.776700+00:00,66,14,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:17:15.213946+00:00,67,14,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:17:24.678033+00:00,68,14,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:17:30.788688+00:00,69,14,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:17:39.377820+00:00,70,14,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:17:49.420036+00:00,71,15,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:17:54.851707+00:00,72,15,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:18:04.332698+00:00,73,15,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:18:10.435437+00:00,74,15,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:18:19.057511+00:00,75,15,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:18:29.077781+00:00,76,16,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:18:34.519255+00:00,77,16,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:18:43.956743+00:00,78,16,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:18:50.028542+00:00,79,16,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:18:58.625798+00:00,80,16,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:19:08.655369+00:00,81,17,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:19:14.066459+00:00,82,17,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:19:23.525299+00:00,83,17,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:19:29.608848+00:00,84,17,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:19:38.195850+00:00,85,17,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:19:48.204558+00:00,86,18,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:19:53.613954+00:00,87,18,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:20:03.040205+00:00,88,18,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:20:09.095017+00:00,89,18,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:20:17.739391+00:00,90,18,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:20:27.764777+00:00,91,19,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:20:33.167926+00:00,92,19,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:20:42.591577+00:00,93,19,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:20:48.698841+00:00,94,19,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:20:57.265276+00:00,95,19,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:21:07.290281+00:00,96,20,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:21:12.698926+00:00,97,20,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:21:22.158870+00:00,98,20,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:21:28.238239+00:00,99,20,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:21:36.838564+00:00,100,20,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:21:46.834545+00:00,101,21,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:21:52.228705+00:00,102,21,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:22:01.646636+00:00,103,21,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:22:07.729835+00:00,104,21,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:22:16.345941+00:00,105,21,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:22:26.398983+00:00,106,22,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:22:31.825854+00:00,107,22,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:22:41.248191+00:00,108,22,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:22:47.410173+00:00,109,22,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:22:55.999397+00:00,110,22,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:23:06.025297+00:00,111,23,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:23:11.429370+00:00,112,23,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:23:20.851382+00:00,113,23,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:23:26.964007+00:00,114,23,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:23:35.523778+00:00,115,23,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:23:45.603870+00:00,116,24,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:23:51.009251+00:00,117,24,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:24:00.465878+00:00,118,24,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:24:06.558183+00:00,119,24,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:24:15.123795+00:00,120,24,4,0.0,2.5,0.0,0.0,1
2026-03-28T23:24:25.128539+00:00,121,25,0,0.0,2.5,0.0,0.0,1
2026-03-28T23:24:30.532851+00:00,122,25,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T23:24:39.975529+00:00,123,25,2,0.0,2.5,0.0,0.0,1
2026-03-28T23:24:46.087045+00:00,124,25,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T23:24:54.685351+00:00,125,25,4,0.0,2.5,0.0,0.0,1
