utc_iso,global_sequence,cycle_index,target_index,target_nominal_mm,retreat_mm,position_measured_mm,residual_mm,sample_within_point
2026-03-28T21:45:26.324215+00:00,65,13,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:45:36.353915+00:00,66,14,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:45:41.783549+00:00,67,14,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:45:51.247131+00:00,68,14,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:45:57.312420+00:00,69,14,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:46:05.945250+00:00,70,14,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:46:15.970660+00:00,71,15,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:46:21.412083+00:00,72,15,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:46:30.816280+00:00,73,15,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:46:36.884058+00:00,74,15,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:46:45.466659+00:00,75,15,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:46:55.492980+00:00,76,16,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:47:00.921426+00:00,77,16,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:47:10.307477+00:00,78,16,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:47:16.372412+00:00,79,16,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:47:24.971707+00:00,80,16,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:47:34.999975+00:00,81,17,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:47:40.439118+00:00,82,17,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:47:49.884853+00:00,83,17,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:47:55.947596+00:00,84,17,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:48:04.576207+00:00,85,17,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:48:14.590404+00:00,86,18,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:48:20.028573+00:00,87,18,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:48:29.474488+00:00,88,18,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:48:35.534519+00:00,89,18,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:48:44.122471+00:00,90,18,4,0.0,2.5,0.0,0.0,1
2026-03-28T21:48:54.155131+00:00,91,19,0,0.0,2.5,0.0,0.0,1
2026-03-28T21:48:59.523799+00:00,92,19,1,1.0,0.0,1.0000011575762207,1.1575762206561535e-06,1
2026-03-28T21:49:09.028659+00:00,93,19,2,0.0,2.5,0.0,0.0,1
2026-03-28T21:49:15.086819+00:00,94,19,3,2.0,0.0,2.0000023151524413,2.315152441312307e-06,1
2026-03-28T21:49:23.653187+00:00,95,19,4,0.0,2.5,0.0,0.0,1
